SEX_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,88752,18030,106782,0.8311513176
Male,Alaska,2,10512,2118,12630,0.832304038
Male,Arizona,3,108630,20706,129336,0.8399053628
Male,Arkansas,4,59290,12531,71821,0.825524568
Male,California,5,481878,97222,579100,0.8321153514
Male,Colorado,6,69159,12027,81186,0.8518586948
Male,Connecticut,7,73428,11682,85110,0.8627423335
Male,Delaware,8,30054,4712,34766,0.8644652822
Male,"District of Columbia",9,6768,1931,8699,0.7780204621
Male,Florida,10,393215,76038,469253,0.8379594803
Male,Georgia,11,141562,30715,172277,0.8217115459
Male,Hawaii,12,17709,3096,20805,0.8511896179
Male,Idaho,13,26803,4672,31475,0.8515647339
Male,Illinois,14,261487,45180,306667,0.8526740732
Male,Indiana,15,142514,23704,166218,0.8573920995
Male,Iowa,16,83042,10700,93742,0.8858569265
Male,Kansas,17,63153,9385,72538,0.8706195373
Male,Kentucky,18,96532,20005,116537,0.8283377811
Male,Louisiana,19,78029,18143,96172,0.8113484174
Male,Maine,20,33436,4670,38106,0.8774471212
Male,Maryland,21,102998,19506,122504,0.8407725462
Male,Massachusetts,22,160731,24980,185711,0.8654899279
Male,Michigan,23,199605,37614,237219,0.8414376589
Male,Minnesota,24,85726,11534,97260,0.8814106519
Male,Mississippi,25,61004,15714,76718,0.7951719284
Male,Missouri,26,121416,20552,141968,0.8552349825
Male,Montana,27,22290,3680,25970,0.8582980362
Male,Nebraska,28,41775,5972,47747,0.874924079
Male,Nevada,29,40044,8509,48553,0.8247482133
Male,"New Hampshire",30,35316,4745,40061,0.8815556277
Male,"New Jersey",31,181747,35076,216823,0.8382274943
Male,"New Mexico",32,28225,6447,34672,0.8140574527
Male,"New York",33,305320,62316,367636,0.8304953813
Male,"North Carolina",34,197264,38839,236103,0.8354997607
Male,"North Dakota",35,16359,2172,18531,0.8827909989
Male,Ohio,36,225588,39659,265247,0.8504827576
Male,Oklahoma,37,67706,13549,81255,0.8332533383
Male,Oregon,38,59847,10139,69986,0.8551281685
Male,Pennsylvania,39,243570,39790,283360,0.8595779221
Male,"Rhode Island",41,19583,3102,22685,0.8632576592
Male,"South Carolina",42,114205,23223,137428,0.8310169689
Male,"South Dakota",43,19636,2833,22469,0.873915172
Male,Tennessee,44,123624,23442,147066,0.8406021786
Male,Texas,45,371018,79247,450265,0.8239992005
Male,Utah,46,30541,5672,36213,0.8433711651
Male,Vermont,47,18431,2418,20849,0.8840232145
Male,Virginia,49,146827,26213,173040,0.8485147943
Male,Washington,50,108080,18915,126995,0.8510571282
Male,"West Virginia",51,40982,7878,48860,0.838763815
Male,Wisconsin,52,112937,14456,127393,0.8865243773
Male,Wyoming,53,11216,1906,13122,0.8547477519
Female,Alabama,1,110185,25074,135259,0.8146223172
Female,Alaska,2,9372,2104,11476,0.8166608574
Female,Arizona,3,107277,22446,129723,0.8269697741
Female,Arkansas,4,70347,16656,87003,0.8085583256
Female,California,5,530877,114586,645463,0.8224747197
Female,Colorado,6,67091,12525,79616,0.8426823754
Female,Connecticut,7,84738,15311,100049,0.8469649872
Female,Delaware,8,34781,6442,41223,0.8437280159
Female,"District of Columbia",9,8688,2481,11169,0.7778673113
Female,Florida,10,428037,95841,523878,0.8170547341
Female,Georgia,11,168065,41074,209139,0.8036043014
Female,Hawaii,12,20088,3538,23626,0.8502497249
Female,Idaho,13,26601,4861,31462,0.8454961541
Female,Illinois,14,306871,60615,367486,0.8350549409
Female,Indiana,15,165472,31478,196950,0.8401726326
Female,Iowa,16,95220,13322,108542,0.8772641005
Female,Kansas,17,72933,11865,84798,0.8600792472
Female,Kentucky,18,110423,25796,136219,0.8106284733
Female,Louisiana,19,95247,24971,120218,0.792285681
Female,Maine,20,36731,5203,41934,0.8759240712
Female,Maryland,21,128140,27635,155775,0.8225966939
Female,Massachusetts,22,181919,31492,213411,0.8524349729
Female,Michigan,23,222995,47611,270606,0.8240578553
Female,Minnesota,24,92903,13307,106210,0.8747104792
Female,Mississippi,25,78312,22636,100948,0.7757657408
Female,Missouri,26,138076,26167,164243,0.8406811858
Female,Montana,27,21972,3773,25745,0.8534472713
Female,Nebraska,28,49429,7723,57152,0.8648691209
Female,Nevada,29,44253,10426,54679,0.8093235063
Female,"New Hampshire",30,37811,5762,43573,0.8677621463
Female,"New Jersey",31,216895,48085,264980,0.8185334742
Female,"New Mexico",32,29459,7412,36871,0.798974804
Female,"New York",33,361039,84409,445448,0.8105076238
Female,"North Carolina",34,232138,51240,283378,0.8191814467
Female,"North Dakota",35,18710,2790,21500,0.8702325581
Female,Ohio,36,250975,49973,300948,0.8339480575
Female,Oklahoma,37,80284,18304,98588,0.814338459
Female,Oregon,38,61089,11103,72192,0.8462017952
Female,Pennsylvania,39,278965,50232,329197,0.8474105171
Female,"Rhode Island",41,22843,4116,26959,0.8473237138
Female,"South Carolina",42,132094,31603,163697,0.8069420942
Female,"South Dakota",43,21679,3451,25130,0.8626740947
Female,Tennessee,44,141847,30993,172840,0.8206838695
Female,Texas,45,427627,102630,530257,0.8064523429
Female,Utah,46,30920,6143,37063,0.8342551871
Female,Vermont,47,18370,2597,20967,0.8761386941
Female,Virginia,49,170585,35065,205650,0.8294918551
Female,Washington,50,112152,20614,132766,0.8447343446
Female,"West Virginia",51,47300,10252,57552,0.8218654434
Female,Wisconsin,52,118984,17101,136085,0.874335893
Female,Wyoming,53,11346,2111,13457,0.8431299695
